title,author,rating,average_goodreads_rating,original_publication_year,number_of_pages,path
Lost in Translation: A Life in a New Language,Eva Hoffman,4.0,3.85,1989,288,data/goodreads/clean/Thomas is een worstje_clean.csv
Permanence,Karl Schroeder,3.0,3.76,2002,480,data/goodreads/clean/Thomas is een worstje_clean.csv
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.0,3.78,1974,540,data/goodreads/clean/Thomas is een worstje_clean.csv
Flowers for Algernon,Daniel Keyes,4.0,4.22,1966,311,data/goodreads/clean/Thomas is een worstje_clean.csv
Bonita Avenue,Peter Buwalda,2.0,3.74,2010,536,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Wise Man’s Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,1.0,4.55,2011,994,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,2.0,4.52,2007,662,data/goodreads/clean/Thomas is een worstje_clean.csv
The Silmarillion,J.R.R. Tolkien,2.0,4.01,1977,386,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Rosie Project (Don Tillman, #1)",Graeme Simsion,2.0,4.01,2013,292,data/goodreads/clean/Thomas is een worstje_clean.csv
Between the World and Me,Ta-Nehisi Coates,5.0,4.4,2015,152,data/goodreads/clean/Thomas is een worstje_clean.csv
Oblivion: Stories,David Foster Wallace,3.0,4.07,2004,329,data/goodreads/clean/Thomas is een worstje_clean.csv
Atlas Shrugged,Ayn Rand,1.0,3.69,1957,1168,data/goodreads/clean/Thomas is een worstje_clean.csv
An Officer and a Spy,Robert   Harris,3.0,4.21,2013,429,data/goodreads/clean/Thomas is een worstje_clean.csv
"Me Before You (Me Before You, #1)",Jojo Moyes,3.0,4.26,2012,369,data/goodreads/clean/Thomas is een worstje_clean.csv
De verwarde cavia,Paulien Cornelisse,3.0,3.43,2016,190,data/goodreads/clean/Thomas is een worstje_clean.csv
"Imago (Xenogenesis, #3)",Octavia E. Butler,4.0,4.2,1989,220,data/goodreads/clean/Thomas is een worstje_clean.csv
"Adulthood Rites (Xenogenesis, #2)",Octavia E. Butler,4.0,4.19,1988,277,data/goodreads/clean/Thomas is een worstje_clean.csv
"Dawn (Xenogenesis, #1)",Octavia E. Butler,4.0,4.16,1987,248,data/goodreads/clean/Thomas is een worstje_clean.csv
"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,2.0,4.04,2002,526,data/goodreads/clean/Thomas is een worstje_clean.csv
"Acceptance (Southern Reach, #3)",Jeff VanderMeer,2.0,3.64,2014,341,data/goodreads/clean/Thomas is een worstje_clean.csv
A Farewell to Arms,Ernest Hemingway,2.0,3.82,1929,293,data/goodreads/clean/Thomas is een worstje_clean.csv
Funny Girl,Nick Hornby,3.0,3.4,2014,452,data/goodreads/clean/Thomas is een worstje_clean.csv
Als je het licht niet kunt zien,Anthony Doerr,3.0,4.31,2014,543,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,2.0,4.08,2006,472,data/goodreads/clean/Thomas is een worstje_clean.csv
The Bell Jar,Sylvia Plath,2.0,4.06,1963,294,data/goodreads/clean/Thomas is een worstje_clean.csv
De 13 ½ levens van kap'tein Blauwbeer,Walter Moers,3.0,4.3,1999,,data/goodreads/clean/Thomas is een worstje_clean.csv
The Invincible,Stanisław Lem,3.0,4.15,1964,223,data/goodreads/clean/Thomas is een worstje_clean.csv
Elementaire deeltjes,Michel Houellebecq,2.0,3.8,1998,343,data/goodreads/clean/Thomas is een worstje_clean.csv
The Zombie Combat Manual: A Guide to Fighting the Living Dead,Roger Ma,4.0,3.85,2010,320,data/goodreads/clean/Thomas is een worstje_clean.csv
Zendegi,Greg Egan,2.0,3.47,2010,278,data/goodreads/clean/Thomas is een worstje_clean.csv
Childhood’s End,Arthur C. Clarke,4.0,4.12,1953,224,data/goodreads/clean/Thomas is een worstje_clean.csv
De eenzaamheid van de priemgetallen,Paolo Giordano,3.0,3.64,2008,318,data/goodreads/clean/Thomas is een worstje_clean.csv
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.0,4.17,1968,297,data/goodreads/clean/Thomas is een worstje_clean.csv
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,4.0,3.96,2005,296,data/goodreads/clean/Thomas is een worstje_clean.csv
The Broom of the System,David Foster Wallace,2.0,3.85,1987,467,data/goodreads/clean/Thomas is een worstje_clean.csv
On the Beach,Nevil Shute,4.0,3.97,1957,296,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.0,4.28,1956,767,data/goodreads/clean/Thomas is een worstje_clean.csv
"Not That Kind of Girl: A Young Woman Tells You What She's ""Learned""",Lena Dunham,1.0,3.29,2014,265,data/goodreads/clean/Thomas is een worstje_clean.csv
East of Eden,John Steinbeck,4.0,4.42,1952,601,data/goodreads/clean/Thomas is een worstje_clean.csv
Norwegian Wood,Haruki Murakami,1.0,4.01,1987,296,data/goodreads/clean/Thomas is een worstje_clean.csv
The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,5.0,4.15,2014,336,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,3.0,4.16,1995,499,data/goodreads/clean/Thomas is een worstje_clean.csv
Snow Crash,Neal Stephenson,3.0,4.02,1992,438,data/goodreads/clean/Thomas is een worstje_clean.csv
Hunter's Run,George R.R. Martin,2.0,3.68,2007,320,data/goodreads/clean/Thomas is een worstje_clean.csv
De voorzitter,Ronald Giphart,3.0,3.0,1999,157,data/goodreads/clean/Thomas is een worstje_clean.csv
De derde persoon,Thomas Heerma van Voss,2.0,3.86,2014,192,data/goodreads/clean/Thomas is een worstje_clean.csv
Man’s Search for Meaning,Viktor E. Frankl,4.0,4.37,1946,165,data/goodreads/clean/Thomas is een worstje_clean.csv
Steppenwolf,Hermann Hesse,2.0,4.13,1927,256,data/goodreads/clean/Thomas is een worstje_clean.csv
Spiral,Andy Remic,1.0,3.73,2003,531,data/goodreads/clean/Thomas is een worstje_clean.csv
Memoirs of an Addicted Brain: A Neuroscientist Examines his Former Life on Drugs,Marc  Lewis,4.0,4.04,2011,320,data/goodreads/clean/Thomas is een worstje_clean.csv
Birdy,William Wharton,4.0,4.02,1978,320,data/goodreads/clean/Thomas is een worstje_clean.csv
The Book Thief,Markus Zusak,5.0,4.39,2005,592,data/goodreads/clean/Thomas is een worstje_clean.csv
How to Be a Woman,Caitlin Moran,4.0,3.72,2011,312,data/goodreads/clean/Thomas is een worstje_clean.csv
Kom hier dat ik u kus,Griet Op de Beeck,3.0,3.96,2014,382,data/goodreads/clean/Thomas is een worstje_clean.csv
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,5.0,4.5,2003,766,data/goodreads/clean/Thomas is een worstje_clean.csv
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.0,4.58,1999,435,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Lord of the Rings (Middle Earth, #2-4)",J.R.R. Tolkien,5.0,4.53,1954,1216,data/goodreads/clean/Thomas is een worstje_clean.csv
Notities uit de jungle,Hanya Yanagihara,4.0,3.73,2013,416,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.0,4.38,1996,815,data/goodreads/clean/Thomas is een worstje_clean.csv
Different Seasons,Stephen         King,4.0,4.35,1982,560,data/goodreads/clean/Thomas is een worstje_clean.csv
"Return of the Crimson Guard (Novels of the Malazan Empire, #2)",Ian C. Esslemont,2.0,4.04,2008,702,data/goodreads/clean/Thomas is een worstje_clean.csv
Onze oom,Arnon Grunberg,2.0,2.99,2008,624,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Da Vinci Code (Robert Langdon, #2)",Dan       Brown,2.0,3.92,2003,489,data/goodreads/clean/Thomas is een worstje_clean.csv
De bewaker,Peter Terrin,3.0,3.11,2009,224,data/goodreads/clean/Thomas is een worstje_clean.csv
Het zijn net mensen: Beelden uit het Midden-Oosten,Joris Luyendijk,4.0,4.16,2006,220,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.0,4.34,2008,374,data/goodreads/clean/Thomas is een worstje_clean.csv
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,3.0,4.33,2009,391,data/goodreads/clean/Thomas is een worstje_clean.csv
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,3.0,4.09,2010,390,data/goodreads/clean/Thomas is een worstje_clean.csv
Saturday,Ian McEwan,2.0,3.64,2005,289,data/goodreads/clean/Thomas is een worstje_clean.csv
Every Love Story Is a Ghost Story: A Life of David Foster Wallace,D.T. Max,4.0,3.75,2012,356,data/goodreads/clean/Thomas is een worstje_clean.csv
Although of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace,David Lipsky,3.0,3.92,2010,320,data/goodreads/clean/Thomas is een worstje_clean.csv
The Last Answer,Isaac Asimov,3.0,4.13,1980,8,data/goodreads/clean/Thomas is een worstje_clean.csv
Ultramarathon Man: Confessions of an All-Night Runner,Dean Karnazes,4.0,4.02,2005,295,data/goodreads/clean/Thomas is een worstje_clean.csv
"Reaper's Gale (Malazan Book of the Fallen, #7)",Steven Erickson,5.0,4.39,2007,910,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.0,4.13,2012,371,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Crippled God (Malazan Book of the Fallen, #10)",Steven Erikson,5.0,4.51,2011,1199,data/goodreads/clean/Thomas is een worstje_clean.csv
"Memories of Ice (Malazan Book of the Fallen, #3)",Steven Erikson,5.0,4.46,2001,1180,data/goodreads/clean/Thomas is een worstje_clean.csv
"Stonewielder (Novels of the Malazan Empire, #3)",Ian C. Esslemont,2.0,4.09,2010,640,data/goodreads/clean/Thomas is een worstje_clean.csv
"House of Chains (Malazan Book of the Fallen, #4)",Steven Erikson,5.0,4.34,2002,1040,data/goodreads/clean/Thomas is een worstje_clean.csv
"Elvis, Jesus, and Coca-Cola",Kinky Friedman,3.0,3.74,1993,1,data/goodreads/clean/Thomas is een worstje_clean.csv
"I'm a Lebowski, You're a Lebowski",Bill Green,4.0,4.02,2007,256,data/goodreads/clean/Thomas is een worstje_clean.csv
Gala,Ronald Giphart,3.0,2.68,2003,89,data/goodreads/clean/Thomas is een worstje_clean.csv
Dust of Dreams (The Malazan Book of the Fallen #9),Steven Erikson,5.0,4.3,2009,1276,data/goodreads/clean/Thomas is een worstje_clean.csv
De helaasheid der dingen,Dimitri Verhulst,4.0,3.8,2006,207,data/goodreads/clean/Thomas is een worstje_clean.csv
"Gardens of the Moon (The Malazan Book of the Fallen, #1)",Steven Erikson,5.0,3.92,1999,736,data/goodreads/clean/Thomas is een worstje_clean.csv
A Heartbreaking Work of Staggering Genius,Dave Eggers,3.0,3.69,2000,501,data/goodreads/clean/Thomas is een worstje_clean.csv
De Literaire kring,Marjolijn Februari,3.0,2.81,2007,253,data/goodreads/clean/Thomas is een worstje_clean.csv
How Fiction Works,James  Wood,5.0,3.99,2008,194,data/goodreads/clean/Thomas is een worstje_clean.csv
Vogelman,Mo Hayder,2.0,3.89,1999,349,data/goodreads/clean/Thomas is een worstje_clean.csv
The Day of the Jackal,Frederick Forsyth,4.0,4.27,1971,358,data/goodreads/clean/Thomas is een worstje_clean.csv
The Negotiator,Frederick Forsyth,2.0,4.01,1989,512,data/goodreads/clean/Thomas is een worstje_clean.csv
"Toll the Hounds (Malazan Book of the Fallen, #8)",Steven Erikson,5.0,4.37,2008,923,data/goodreads/clean/Thomas is een worstje_clean.csv
"The First Collected Tales of Bauchelain and Korbal Broach (The Tales of Bauchelain and Korbal Broach, #1-3)",Steven Erikson,3.0,3.98,2009,395,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Bonehunters (Malazan Book of the Fallen, #6)",Steven Erikson,5.0,4.48,2006,891,data/goodreads/clean/Thomas is een worstje_clean.csv
Pig Island,Mo Hayder,3.0,3.37,2006,352,data/goodreads/clean/Thomas is een worstje_clean.csv
"Midnight Tides (Malazan Book of the Fallen, #5)",Steven Erikson,5.0,4.42,2004,960,data/goodreads/clean/Thomas is een worstje_clean.csv
The Beach,Alex Garland,4.0,3.97,1996,448,data/goodreads/clean/Thomas is een worstje_clean.csv
Making History,Stephen Fry,2.0,3.93,1996,575,data/goodreads/clean/Thomas is een worstje_clean.csv
De gevangene,John Grisham,2.0,3.86,2006,332,data/goodreads/clean/Thomas is een worstje_clean.csv
"Night of Knives (Novels of the Malazan Empire, #1)",Ian C. Esslemont,4.0,3.82,2004,304,data/goodreads/clean/Thomas is een worstje_clean.csv
"American Gods (American Gods, #1)",Neil Gaiman,3.0,4.11,2001,592,data/goodreads/clean/Thomas is een worstje_clean.csv
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.0,4.31,1985,324,data/goodreads/clean/Thomas is een worstje_clean.csv
Always Looking Up: The Adventures of an Incurable Optimist,Michael J. Fox,4.0,3.82,2008,276,data/goodreads/clean/Thomas is een worstje_clean.csv
Broken Music: A Memoir,Sting,3.0,3.87,2003,337,data/goodreads/clean/Thomas is een worstje_clean.csv
Gimmick!,Joost Zwagerman,3.0,3.12,1989,237,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Final Empire (Mistborn, #1)",Brandon Sanderson,3.0,4.48,2006,541,data/goodreads/clean/Thomas is een worstje_clean.csv
Under the Dome,Stephen         King,2.0,3.92,2009,1074,data/goodreads/clean/Thomas is een worstje_clean.csv
I Am Legend,Richard Matheson,5.0,4.06,1954,160,data/goodreads/clean/Thomas is een worstje_clean.csv
The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,Steven Pressfield,4.0,3.99,2002,165,data/goodreads/clean/Thomas is een worstje_clean.csv
The Dark Tower (The Dark Tower #7),Stephen         King,5.0,4.28,2004,686,data/goodreads/clean/Thomas is een worstje_clean.csv
Tales of the Cthulhu Mythos,Jim Turner,4.0,4.22,1990,462,data/goodreads/clean/Thomas is een worstje_clean.csv
Moordlust,Daniel Hecht,2.0,3.27,2000,448,data/goodreads/clean/Thomas is een worstje_clean.csv
The Case for Working with Your Hands or Why Office Work Is Bad for Us and Fixing Things Feels Good,Matthew B. Crawford,4.0,3.75,2009,246,data/goodreads/clean/Thomas is een worstje_clean.csv
Rosie,Stephen         King,2.0,3.75,1995,459,data/goodreads/clean/Thomas is een worstje_clean.csv
Het Boek Ont,Anton Valens,3.0,3.36,2012,352,data/goodreads/clean/Thomas is een worstje_clean.csv
De vierde hand,John Irving,2.0,3.33,2001,0,data/goodreads/clean/Thomas is een worstje_clean.csv
Het diner,Herman Koch,2.0,3.21,2009,300,data/goodreads/clean/Thomas is een worstje_clean.csv
Fight Club,Chuck Palahniuk,4.0,4.18,1996,208,data/goodreads/clean/Thomas is een worstje_clean.csv
The Blind Watchmaker,Richard Dawkins,5.0,4.09,1986,332,data/goodreads/clean/Thomas is een worstje_clean.csv
"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,3.0,3.78,1996,370,data/goodreads/clean/Thomas is een worstje_clean.csv
"His Dark Materials (His Dark Materials, #1-3)",Philip Pullman,4.0,4.29,2000,933,data/goodreads/clean/Thomas is een worstje_clean.csv
Godverdomse dagen op een godverdomse bol,Dimitri Verhulst,4.0,3.08,2008,180,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Hydrogen Sonata (Culture, #10)",Iain M. Banks,2.0,4.2,2012,630,data/goodreads/clean/Thomas is een worstje_clean.csv
Butcher's Crossing,John  Williams,2.0,4.18,1960,334,data/goodreads/clean/Thomas is een worstje_clean.csv
Matilda,Roald Dahl,5.0,4.33,1988,206,data/goodreads/clean/Thomas is een worstje_clean.csv
God is gek: de dictatuur van het atheïsme,Kluun,2.0,2.66,2009,59,data/goodreads/clean/Thomas is een worstje_clean.csv
Wuthering Heights,Emily Brontë,2.0,3.89,1847,464,data/goodreads/clean/Thomas is een worstje_clean.csv
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.0,4.02,1976,346,data/goodreads/clean/Thomas is een worstje_clean.csv
Are You Experienced?,William Sutcliffe,3.0,3.58,1997,233,data/goodreads/clean/Thomas is een worstje_clean.csv
Girl With Curious Hair,David Foster Wallace,3.0,3.85,1988,373,data/goodreads/clean/Thomas is een worstje_clean.csv
De genezing van de krekel,Toon Tellegen,5.0,4.13,1999,119,data/goodreads/clean/Thomas is een worstje_clean.csv
De ontdekking van de hemel,Harry Mulisch,3.0,4.17,1992,905,data/goodreads/clean/Thomas is een worstje_clean.csv
"Xenocide (Ender's Saga, #3)",Orson Scott Card,4.0,3.81,1991,592,data/goodreads/clean/Thomas is een worstje_clean.csv
Oblivion: Stories,David Foster Wallace,3.0,4.07,2004,333,data/goodreads/clean/Thomas is een worstje_clean.csv
"The Wind Through the Keyhole (The Dark Tower, #4.5)",Stephen         King,4.0,4.14,2012,309,data/goodreads/clean/Thomas is een worstje_clean.csv
Proeven van liefde,Alain de Botton,4.0,3.97,1993,232,data/goodreads/clean/Thomas is een worstje_clean.csv
"Harry Potter en de Geheime Kamer (Harry Potter, #2)",J.K. Rowling,4.0,4.43,1998,254,data/goodreads/clean/Thomas is een worstje_clean.csv
Brief Interviews with Hideous Men,David Foster Wallace,4.0,3.84,1999,321,data/goodreads/clean/Thomas is een worstje_clean.csv
De troost van de filosofie,Alain de Botton,4.0,4.01,2000,303,data/goodreads/clean/Thomas is een worstje_clean.csv
Broodje gezond,Bart Chabot,3.0,3.8,1996,454,data/goodreads/clean/Thomas is een worstje_clean.csv
Danse Macabre,Stephen         King,4.0,3.67,1981,480,data/goodreads/clean/Thomas is een worstje_clean.csv
Clausewitz,Joost de Vries,4.0,3.14,2010,229,data/goodreads/clean/Thomas is een worstje_clean.csv
Infinite Jest,David Foster Wallace,5.0,4.25,1996,1079,data/goodreads/clean/Thomas is een worstje_clean.csv
De revanche van de roman,Thomas Vaessens,4.0,3.32,2009,255,data/goodreads/clean/Thomas is een worstje_clean.csv
To Kill a Mockingbird,Harper Lee,5.0,4.26,1960,323,data/goodreads/clean/Thomas is een worstje_clean.csv
In Dubio,Rob Wijnberg,4.0,3.65,2008,142,data/goodreads/clean/Thomas is een worstje_clean.csv
Onmacht,Charles den Tex,4.0,2.82,2010,92,data/goodreads/clean/Thomas is een worstje_clean.csv
Changing my Mind: Occasional Essays,Zadie Smith,4.0,3.83,2009,308,data/goodreads/clean/Thomas is een worstje_clean.csv
Player One,Coupland Douglas,2.0,3.49,2010,246,data/goodreads/clean/Thomas is een worstje_clean.csv
Into the Wild,Jon Krakauer,4.0,4.01,1996,207,data/goodreads/clean/Thomas is een worstje_clean.csv
Alles over Tristan,Tommy Wieringa,4.0,3.48,2002,254,data/goodreads/clean/Thomas is een worstje_clean.csv
Veronika besluit te sterven,Paulo Coelho,4.0,3.73,1998,191,data/goodreads/clean/Thomas is een worstje_clean.csv
Excession (Culture #5),Iain M. Banks,5.0,4.2,1996,455,data/goodreads/clean/Thomas is een worstje_clean.csv
Nieuwe handen: mijn verhaal over de nieuwjaarsbrand in Volendam,Gerie Smit,3.0,3.95,2009,208,data/goodreads/clean/Thomas is een worstje_clean.csv
Ik heb altijd gelijk,Willem Frederik Hermans,3.0,3.55,1951,250,data/goodreads/clean/Thomas is een worstje_clean.csv
Stoner,John  Williams,5.0,4.34,1965,320,data/goodreads/clean/Thomas is een worstje_clean.csv
"Full Dark, No Stars",Stephen         King,2.0,4.08,2011,453,data/goodreads/clean/Thomas is een worstje_clean.csv
How to Find Fulfilling Work,Roman Krznaric,4.0,3.9,2012,160,data/goodreads/clean/Thomas is een worstje_clean.csv
The Art of War,Sun Tzu,5.0,3.95,-400,325,data/goodreads/clean/Thomas is een worstje_clean.csv
Consider the Lobster and Other Essays,David Foster Wallace,4.0,4.19,2005,344,data/goodreads/clean/Thomas is een worstje_clean.csv
De kat,Takashi Hiraide,3.0,3.55,2001,160,data/goodreads/clean/Thomas is een worstje_clean.csv
Stern,Thomas Heerma van Voss,3.0,3.67,2012,221,data/goodreads/clean/Thomas is een worstje_clean.csv
"Ender's Shadow (Shadow, #1)",Orson Scott Card,3.0,4.32,1999,469,data/goodreads/clean/Thomas is een worstje_clean.csv
Embracing the Wide Sky: A Tour Across the Horizons of the Mind,Daniel Tammet,4.0,3.76,2009,304,data/goodreads/clean/Thomas is een worstje_clean.csv
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.0,4.57,2000,636,data/goodreads/clean/Thomas is een worstje_clean.csv
"Shadow of the Hegemon (The Shadow Series, #2)",Orson Scott Card,3.0,3.96,2000,451,data/goodreads/clean/Thomas is een worstje_clean.csv
No Country for Old Men,Cormac McCarthy,4.0,4.16,2005,305,data/goodreads/clean/Thomas is een worstje_clean.csv
